Model,Dataset,Accuracy,Precision,Recall,F1-Score,ROC-AUC
XGBoost (Original),Original,0.9519993179299173,0.9320843091334895,0.7149700598802395,0.8092172145035581,0.9542945126746211
LightGBM (Original),Original,0.9516582828885668,0.9265274555297757,0.7173652694610778,0.80863989200135,0.9569959990546792
Gradient Boosting (Original),Original,0.9509762128058658,0.926734216679657,0.7119760479041917,0.8052827632915679,0.9518982613359621
LightGBM (SMOTE),SMOTE,0.9502088839628272,0.9107413010590015,0.7209580838323353,0.8048128342245989,0.9509626735196473
LightGBM (SMOTETomek),SMOTETomek,0.9501236252024896,0.9131759329779132,0.7179640718562874,0.8038887026483406,0.9488888611086803
XGBoost (SMOTETomek),SMOTETomek,0.9495268138801262,0.9077155824508321,0.718562874251497,0.8021390374331551,0.9472242214050872
XGBoost (SMOTE),SMOTE,0.9489300025577628,0.9041509433962264,0.7173652694610778,0.8,0.9474982930053999
Gradient Boosting (SMOTETomek),SMOTETomek,0.947992156194049,0.8862973760932945,0.7281437125748503,0.799474030243261,0.946114332623152
Gradient Boosting (SMOTE),SMOTE,0.9473100861113479,0.8850658857979502,0.7239520958083833,0.7964426877470355,0.9479738108036834
Decision Tree (Original),Original,0.9462869809872965,0.9012345679012346,0.6994011976047905,0.7875927174645988,0.9077403201351546
Random Forest (Original),Original,0.9454343933839202,0.920751633986928,0.6748502994011976,0.778852798894264,0.9280940356090682
Decision Tree (SMOTE),SMOTE,0.9341802370193537,0.7904269081500647,0.7317365269461078,0.7599502487562189,0.9029882376612717
Random Forest (SMOTETomek),SMOTETomek,0.9313666979282121,0.761962447001817,0.7532934131736527,0.7576031315868714,0.9296520290763537
Random Forest (SMOTE),SMOTE,0.9312814391678745,0.7656826568265682,0.7455089820359282,0.7554611650485437,0.9308506756245933
Decision Tree (SMOTETomek),SMOTETomek,0.9320487680109131,0.775047258979206,0.7365269461077845,0.7552962849247774,0.9084191295309767
AdaBoost (Original),Original,0.9286384175974082,0.8024691358024691,0.6616766467065869,0.7253035772891369,0.9274097197790521
AdaBoost (SMOTETomek),SMOTETomek,0.9132918407366357,0.6703182055294732,0.7694610778443114,0.7164761639252858,0.918078337806939
AdaBoost (SMOTE),SMOTE,0.911842441810896,0.6664921465968586,0.7622754491017965,0.711173184357542,0.9190577389807323
SVM (Original),Original,0.9251428084235656,0.8289036544850499,0.5976047904191617,0.6945024356297843,0.8647878415551836
SVM (SMOTETomek),SMOTETomek,0.8958990536277602,0.6051522248243559,0.7736526946107785,0.6791064388961893,0.9085472955074045
SVM (SMOTE),SMOTE,0.895728536107085,0.6046838407494145,0.7730538922155689,0.678580814717477,0.9085517006547597
K-Nearest Neighbors (Original),Original,0.914144428340012,0.7737407101568952,0.5610778443113772,0.6504685872960777,0.8545523923819524
Logistic Regression (Original),Original,0.9088583851990792,0.788111217641419,0.49221556886227547,0.6059712495392554,0.8972998827873631
Logistic Regression (SMOTETomek),SMOTETomek,0.8313581720521783,0.45009721322099805,0.8317365269461078,0.5841042893187552,0.8989121667193497
Logistic Regression (SMOTE),SMOTE,0.8309318782504902,0.44933635480738104,0.8311377245508982,0.5833158226518176,0.8988735323864648
Naive Bayes (Original),Original,0.8530991559382727,0.48918808649530804,0.7179640718562874,0.5818975976704683,0.8720514830761978
K-Nearest Neighbors (SMOTE),SMOTE,0.8288004092420497,0.4419642857142857,0.7706586826347306,0.5617634220864252,0.853911919673924
K-Nearest Neighbors (SMOTETomek),SMOTETomek,0.8279478216386734,0.4404517453798768,0.7706586826347306,0.5605400696864111,0.8540129404180008
Naive Bayes (SMOTE),SMOTE,0.817802029158496,0.4240156199153921,0.7802395209580838,0.5494412818890997,0.8689533548471206
Naive Bayes (SMOTETomek),SMOTETomek,0.8174609941171456,0.4233647901073869,0.7790419161676647,0.5485979337971748,0.8688919506647307
